Date,Close
2022-11-07,"3,094"
2022-11-04,"3,0787"
2022-11-03,"3,0484"
2022-11-02,"2,9457"
2022-11-01,"2,9331"
2022-10-31,"2,9436"
2022-10-28,"2,9075"
2022-10-27,"2,7347"
2022-10-26,"2,9012"
2022-10-25,"2,9339"
2022-10-24,"3,0542"
2022-10-21,"3,1306"
2022-10-20,"3,1944"
2022-10-19,"3,1635"
2022-10-18,"3,0942"
2022-10-17,"3,1365"
2022-10-14,"3,1634"
2022-10-13,"3,1318"
2022-10-12,"3,1228"
2022-10-11,"3,1497"
2022-10-10,"3,204"
2022-10-07,"3,1111"
2022-10-06,"2,9998"
2022-10-05,"2,8527"
2022-10-04,"2,7106"
2022-10-03,"2,7781"
2022-09-30,"2,9843"
2022-09-29,"3,0489"
2022-09-28,"3,068"
2022-09-27,"3,1661"
2022-09-26,"3,0772"
2022-09-23,"2,9334"
2022-09-22,"2,8147"
2022-09-21,"2,7192"
2022-09-20,"2,6599"
2022-09-19,"2,544"
2022-09-16,"2,4807"
2022-09-15,"2,5154"
2022-09-14,"2,4608"
2022-09-13,"2,4567"
2022-09-12,"2,3354"
2022-09-09,"2,3809"
2022-09-08,"2,3904"
2022-09-07,"2,2757"
2022-09-06,"2,3447"
2022-09-05,"2,3098"
2022-09-02,"2,1974"
2022-09-01,"2,2662"
2022-08-31,"2,2696"
2022-08-30,"2,2519"
2022-08-29,"2,239"
2022-08-26,"2,124"
2022-08-25,"1,9894"
2022-08-24,"2,07"
2022-08-23,"2,0011"
2022-08-22,"2,0013"
2022-08-19,"1,8635"
2022-08-18,"1,7394"
2022-08-17,"1,6829"
2022-08-16,"1,5515"
2022-08-15,"1,5093"
2022-08-12,"1,5923"
2022-08-11,"1,5616"
2022-08-10,"1,522"
2022-08-09,"1,5469"
2022-08-08,"1,517"
2022-08-05,"1,5603"
2022-08-04,"1,39"
2022-08-03,"1,4568"
2022-08-02,"1,3914"
2022-08-01,"1,3388"
2022-07-29,"1,3535"
2022-07-28,"1,3567"
2022-07-27,"1,4932"
2022-07-26,"1,4248"
2022-07-25,"1,5096"
2022-07-22,"1,5651"
2022-07-21,"1,7798"
2022-07-20,"1,7533"
2022-07-19,"1,7861"
2022-07-18,"1,6836"
